,jnd_sender_id,is_answered,question_rank,time_from_start,sum_answer,num_quick_replies,hour,day_of_week,nbr_response_code_replaced_color_question,nbr_response_code_replaced_fabric_question,nbr_response_code_replaced_fit_question,nbr_response_code_replaced_neckline_question,nbr_response_code_replaced_sleeve style_question,nbr_response_code_replaced_style_question,last_nbr_code_replaced_color_question,last_nbr_code_replaced_consumer_mismatch,last_nbr_code_replaced_customer_care_url,last_nbr_code_replaced_fabric_question,last_nbr_code_replaced_fit_question,last_nbr_code_replaced_no_products_for_type,last_nbr_code_replaced_offer_other_products_for_type,last_nbr_code_replaced_other,last_nbr_code_replaced_product_type_selection,last_nbr_code_replaced_shopping_open_question_no_gender,last_nbr_code_replaced_sleeve style_question,last_nbr_code_replaced_subvertical_selection,last_nbr_code_replaced_subvertical_selection_second,jnd_retailer_replaced_962,"last_nlu_intents_list_replaced__New Search, neutral_","last_nlu_intents_list_replaced__Not Understood, neutral_","last_nlu_intents_list_replaced__Shop Now, Indifferent_","last_nlu_intents_list_replaced__Shop Now, neutral_","last_nlu_intents_list_replaced__Shop Now, positive_","last_nlu_intents_list_replaced__neutral, Shop Now_","last_nlu_intents_list_replaced__positive, Shop Now_",last_nlu_intents_list_replaced__positive_,last_nlu_intents_list_replaced_other,last_nlu_subvertical_replaced_accessories,last_nlu_subvertical_replaced_bags,last_nlu_subvertical_replaced_clothing,last_nlu_subvertical_replaced_footwear,last_nlu_subvertical_replaced_lounge \u0026 underwear,last_nlu_subvertical_replaced_other,last_nlu_subvertical_replaced_outerwear,last_nlu_positive_aspects_replaced___,last_nlu_positive_aspects_replaced__body type_,last_nlu_positive_aspects_replaced__color_,last_nlu_positive_aspects_replaced__cut_,last_nlu_positive_aspects_replaced__fabric_,last_nlu_positive_aspects_replaced__fit_,last_nlu_positive_aspects_replaced__length_,last_nlu_positive_aspects_replaced__neckline_,"last_nlu_positive_aspects_replaced__size uk, size eu, size us_","last_nlu_positive_aspects_replaced__size uk, size uk, size us, size, size us, size eu, size eu_",last_nlu_positive_aspects_replaced__size_,last_nlu_positive_aspects_replaced__sleeve style_,last_nlu_positive_aspects_replaced__weather_,last_nlu_positive_aspects_replaced_other,last_nlu_positive_product_type_replaced_athletic shoes,last_nlu_positive_product_type_replaced_boots,last_nlu_positive_product_type_replaced_cap,last_nlu_positive_product_type_replaced_coat,last_nlu_positive_product_type_replaced_dress,last_nlu_positive_product_type_replaced_hoodie,last_nlu_positive_product_type_replaced_jacket,last_nlu_positive_product_type_replaced_jeans,last_nlu_positive_product_type_replaced_other,last_nlu_positive_product_type_replaced_pants,last_nlu_positive_product_type_replaced_shirt,last_nlu_positive_product_type_replaced_shorts,last_nlu_positive_product_type_replaced_sweater,last_nlu_positive_product_type_replaced_underwear,last_nlu_positive_product_type_replaced_vest,customer_type_replaced_NULL,customer_type_replaced_New Visitor,customer_type_replaced_Returning Visitor,customer_type_replaced_other,platform_replaced_Desktop,platform_replaced_Mobile,platform_replaced_other,os_replaced_Android 6.0.1,os_replaced_Android 7.0,os_replaced_Android 7.1.1,os_replaced_Android 8.0.0,os_replaced_Android 8.1.0,os_replaced_Android 9,os_replaced_Mac OS,os_replaced_OS12_2,os_replaced_OS12_3_1,os_replaced_OS12_4,os_replaced_OS12_4_1,os_replaced_OS12_4_2,os_replaced_OS13_0,os_replaced_OS13_1,os_replaced_OS13_1_1,os_replaced_OS13_1_2,os_replaced_OS13_1_3,os_replaced_Windows,os_replaced_other,app_replaced_Chrome/Safari,app_replaced_Chrome/Safari/Edge,app_replaced_Chrome/Safari/OPR,app_replaced_CriOS/Safari,app_replaced_GSA/Safari,app_replaced_Safari,app_replaced_SamsungBrowser/Chrome/Safari,app_replaced_other,device_replaced_Mac,device_replaced_SM-G950U,device_replaced_SM-G955U,device_replaced_SM-G960F,device_replaced_SM-G960U,device_replaced_SM-G965U,device_replaced_SM-G975U,device_replaced_SM-N950U,device_replaced_SM-N960U,device_replaced_X11,device_replaced_iPad,device_replaced_iPhone,device_replaced_other
6,38x9utocq5,0,2.0,7.18693208694458,1.0,9.0,22.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,4zexge01dz,0,1.0,0.10031604766845703,,9.0,20.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,4zexge01dz,0,2.0,117.10986590385436,0.0,3.0,20.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,51jrw5naun,0,2.0,1.226511001586914,0.0,7.0,5.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,6klgl7260s,0,2.0,4.092756509780884,1.0,10.0,2.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,bia15lqrgh,0,1.0,2.099754095077514,,8.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,egkpizqjih,0,2.0,5.111402988433838,1.0,10.0,4.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,g7r3nsn63q,0,1.0,2.150352954864502,,9.0,23.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,hxvht0fcdvk,1,1.0,1.0919146537780762,,4.0,5.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,hxvht0fcdvk,0,2.0,8.100004911422731,1.0,5.0,5.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
